report_date,borough,community_districts,family_with_children_commercial_hotel,family_with_children_shelter,family_cluster
2025-05-31,Bronx,5.0,154.0,1053.0,
2025-05-31,Bronx,4.0,336.0,2026.0,
2025-05-31,Bronx,3.0,,1233.0,
2025-05-31,Bronx,2.0,,707.0,
2025-05-31,Bronx,1.0,191.0,1078.0,
2025-05-31,Bronx,8.0,,633.0,
2025-05-31,Bronx,7.0,645.0,713.0,
2025-05-31,Bronx,6.0,1221.0,1734.0,
2025-05-31,Bronx,10.0,,518.0,
2025-05-31,Westchester,,,,
2025-05-31,Staten Island,3.0,,,
2025-05-31,Staten Island,2.0,164.0,,
2025-05-31,Staten Island,1.0,57.0,512.0,
2025-05-31,Queens,14.0,543.0,114.0,
2025-05-31,Queens,13.0,518.0,617.0,
2025-05-31,Queens,12.0,7539.0,1269.0,
2025-05-31,Queens,11.0,161.0,,
2025-05-31,Queens,10.0,678.0,,
2025-05-31,Queens,9.0,,,
2025-05-31,Queens,8.0,170.0,273.0,
2025-05-31,Queens,7.0,75.0,,
2025-05-31,Queens,6.0,,204.0,
2025-05-31,Queens,5.0,,211.0,
2025-05-31,Queens,4.0,,460.0,
2025-05-31,Queens,3.0,1918.0,681.0,
2025-05-31,Queens,2.0,977.0,228.0,
2025-05-31,Queens,1.0,4727.0,249.0,
2025-05-31,Manhattan,12.0,,,
2025-05-31,Manhattan,11.0,,469.0,
2025-05-31,Manhattan,10.0,,613.0,
2025-05-31,Manhattan,9.0,,611.0,
2025-05-31,Manhattan,8.0,569.0,,
2025-05-31,Manhattan,7.0,972.0,365.0,
2025-05-31,Manhattan,6.0,268.0,592.0,
2025-05-31,Manhattan,5.0,2121.0,1012.0,
2025-05-31,Manhattan,4.0,1217.0,349.0,
2025-05-31,Manhattan,3.0,102.0,96.0,
2025-05-31,Manhattan,2.0,321.0,,
2025-05-31,Manhattan,1.0,4.0,,
2025-05-31,Brooklyn,18.0,300.0,731.0,
2025-05-31,Brooklyn,17.0,292.0,1619.0,
2025-05-31,Brooklyn,16.0,592.0,2233.0,
2025-05-31,Brooklyn,15.0,449.0,186.0,
2025-05-31,Brooklyn,14.0,169.0,89.0,
2025-05-31,Brooklyn,13.0,,365.0,
2025-05-31,Brooklyn,12.0,,132.0,
2025-05-31,Brooklyn,11.0,,,
2025-05-31,Brooklyn,10.0,,,
2025-05-31,Brooklyn,9.0,,375.0,
2025-05-31,Brooklyn,8.0,77.0,540.0,
2025-05-31,Brooklyn,7.0,319.0,368.0,
2025-05-31,Brooklyn,6.0,354.0,462.0,
2025-05-31,Brooklyn,5.0,876.0,506.0,
2025-05-31,Brooklyn,4.0,56.0,824.0,
2025-05-31,Brooklyn,3.0,453.0,372.0,
2025-05-31,Brooklyn,2.0,,76.0,
2025-05-31,Brooklyn,1.0,537.0,,
2025-05-31,Bronx,12.0,643.0,802.0,
2025-05-31,Bronx,11.0,,,
2025-04-30,Brooklyn,1.0,516.0,,
2025-04-30,Bronx,6.0,1137.0,1800.0,
2025-04-30,Bronx,3.0,,1258.0,
2025-04-30,Bronx,5.0,154.0,1068.0,
2025-04-30,Bronx,1.0,205.0,1140.0,
2025-04-30,Westchester,,,,
2025-04-30,Staten Island,3.0,,,
2025-04-30,Staten Island,2.0,163.0,,
2025-04-30,Staten Island,1.0,57.0,509.0,
2025-04-30,Queens,14.0,516.0,136.0,
2025-04-30,Queens,13.0,495.0,651.0,
2025-04-30,Queens,12.0,7087.0,1306.0,
2025-04-30,Queens,11.0,169.0,,
2025-04-30,Queens,10.0,692.0,,
2025-04-30,Queens,9.0,,,
2025-04-30,Queens,8.0,178.0,277.0,
2025-04-30,Queens,7.0,76.0,,
2025-04-30,Queens,6.0,,207.0,
2025-04-30,Queens,5.0,,204.0,
2025-04-30,Queens,4.0,,473.0,
2025-04-30,Queens,3.0,1819.0,701.0,
2025-04-30,Queens,2.0,976.0,230.0,
2025-04-30,Queens,1.0,4644.0,264.0,
2025-04-30,Manhattan,12.0,,,
2025-04-30,Manhattan,11.0,,452.0,
2025-04-30,Manhattan,10.0,,605.0,
2025-04-30,Manhattan,9.0,,612.0,
2025-04-30,Manhattan,8.0,556.0,,
2025-04-30,Manhattan,7.0,996.0,348.0,
2025-04-30,Manhattan,6.0,263.0,591.0,
2025-04-30,Manhattan,5.0,2097.0,1009.0,
2025-04-30,Manhattan,4.0,1393.0,341.0,
2025-04-30,Manhattan,3.0,104.0,89.0,
2025-04-30,Manhattan,2.0,323.0,,
2025-04-30,Manhattan,1.0,514.0,,
2025-04-30,Bronx,2.0,,715.0,
2025-04-30,Brooklyn,18.0,276.0,738.0,
2025-04-30,Brooklyn,17.0,308.0,1634.0,
